drug	mode	measure	mean	std
Meropenem	gpa_snps	precision	0.43	0.57
Meropenem	snps	auc	0.05	0.56
Meropenem	snps	balanced_accuracy	0.03	0.53
Meropenem	snps	F1-score_macro	0.15	0.43
Meropenem	snps	F1-score_micro	0.33	0.45
Meropenem	snps	neg_recall	0.29	0.63
Meropenem	snps	npv	0.04	0.35
Meropenem	snps	pos_recall	0.33	0.43
Meropenem	snps	precision	0.35	0.46
Tobramycin	expr	auc	0.15	0.85
Tobramycin	expr	balanced_accuracy	0.13	0.81
Tobramycin	expr	F1-score_macro	0.16	0.78
Tobramycin	expr	F1-score_micro	0.29	0.68
Tobramycin	expr	neg_recall	0.06	0.89
Tobramycin	expr	npv	0.09	0.89
Tobramycin	expr	pos_recall	0.30	0.72
Tobramycin	expr	precision	0.28	0.65
Tobramycin	expr_snps	auc	0.16	0.86
Tobramycin	expr_snps	balanced_accuracy	0.13	0.81
Tobramycin	expr_snps	F1-score_macro	0.17	0.80
Tobramycin	expr_snps	F1-score_micro	0.29	0.70
Tobramycin	expr_snps	neg_recall	0.06	0.91
Tobramycin	expr_snps	npv	0.09	0.89
Tobramycin	expr_snps	pos_recall	0.30	0.71
Tobramycin	expr_snps	precision	0.29	0.68
Tobramycin	gpa	auc	0.19	0.81
Tobramycin	gpa	balanced_accuracy	0.17	0.79
Tobramycin	gpa	F1-score_macro	0.21	0.77
Tobramycin	gpa	F1-score_micro	0.37	0.64
Tobramycin	gpa	neg_recall	0.02	0.97
Tobramycin	gpa	npv	0.10	0.86
Tobramycin	gpa	pos_recall	0.36	0.61
Tobramycin	gpa	precision	0.39	0.67
Tobramycin	gpa_expr	auc	0.15	0.89
Tobramycin	gpa_expr	balanced_accuracy	0.13	0.85
Tobramycin	gpa_expr	F1-score_macro	0.16	0.85
Tobramycin	gpa_expr	F1-score_micro	0.28	0.77
Tobramycin	gpa_expr	neg_recall	0.02	0.95
Tobramycin	gpa_expr	npv	0.09	0.91
Tobramycin	gpa_expr	pos_recall	0.28	0.75
Tobramycin	gpa_expr	precision	0.27	0.79
Tobramycin	gpa_expr_snps	auc	0.14	0.88
Tobramycin	gpa_expr_snps	balanced_accuracy	0.13	0.84
Tobramycin	gpa_expr_snps	F1-score_macro	0.16	0.83
Tobramycin	gpa_expr_snps	F1-score_micro	0.27	0.75
Tobramycin	gpa_expr_snps	neg_recall	0.02	0.94
Tobramycin	gpa_expr_snps	npv	0.08	0.90
Tobramycin	gpa_expr_snps	pos_recall	0.28	0.74
Tobramycin	gpa_expr_snps	precision	0.27	0.77
Tobramycin	gpa_snps	auc	0.19	0.82
Tobramycin	gpa_snps	balanced_accuracy	0.17	0.79
Tobramycin	gpa_snps	F1-score_macro	0.21	0.77
Tobramycin	gpa_snps	F1-score_micro	0.37	0.63
Tobramycin	gpa_snps	neg_recall	0.03	0.96
Tobramycin	gpa_snps	npv	0.10	0.86
Tobramycin	gpa_snps	pos_recall	0.36	0.62
Tobramycin	gpa_snps	precision	0.38	0.65
Tobramycin	snps	auc	0.18	0.80
Tobramycin	snps	balanced_accuracy	0.16	0.77
Tobramycin	snps	F1-score_macro	0.20	0.74
Tobramycin	snps	F1-score_micro	0.35	0.60
Tobramycin	snps	neg_recall	0.07	0.92
Tobramycin	snps	npv	0.10	0.86
Tobramycin	snps	pos_recall	0.36	0.61
Tobramycin	snps	precision	0.35	0.59
