final all	Tobramycin_S-vs-R	Ceftazidim_S-vs-R	Ciprofloxacin_S-vs-R	Meropenem_S-vs-R	Tobramycin_SI-vs-R	Ceftazidim_SI-vs-R	Ciprofloxacin_SI-vs-R	Meropenem_SI-vs-R	Tobramycin_S-vs-IR	Ceftazidim_S-vs-IR	Ciprofloxacin_S-vs-IR	Meropenem_S-vs-IR	Tobramycin_S-vs-I	Ceftazidim_S-vs-I	Ciprofloxacin_S-vs-I	Meropenem_S-vs-I	Tobramycin_I-vs-R	Ceftazidim_I-vs-R	Ciprofloxacin_I-vs-R	Meropenem_I-vs-R	Tobramycin_I-vs-SR	Ceftazidim_I-vs-SR	Ciprofloxacin_I-vs-SR	Meropenem_I-vs-SR
CH4891	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH4914	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH4916	0.0	1.0	0.0	1.0	0	1	0	1	0	1	0	1	0.0		0.0			1.0		1.0	1	1	1	1
CH4990	0.0		0.0	1.0	0	0	0	1	0	1	0	1	0.0	1.0	0.0			0.0		1.0	1	0	1	1
CH4992	0.0	0.0	1.0		0	0	1	0	0	0	1	1	0.0	0.0		1.0			1.0	0.0	1	1	1	0
CH5022	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
CH5052	1.0	0.0	1.0		1	0	1	0	1	0	1	1		0.0		1.0	1.0		1.0	0.0	1	1	1	0
CH5066	0.0	1.0	0.0	0.0	0	1	0	0	0	1	0	0	0.0		0.0	0.0		1.0			1	1	1	1
CH5159	1.0	1.0	1.0	0.0	1	1	1	0	1	1	1	0				0.0	1.0	1.0	1.0		1	1	1	1
CH5174	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH5182	0.0	1.0		1.0	0	1	0	1	0	1	1	1	0.0		1.0			1.0	0.0	1.0	1	1	0	1
CH5193	1.0	1.0	1.0	0.0	1	1	1	0	1	1	1	0				0.0	1.0	1.0	1.0		1	1	1	1
CH5206	0.0	1.0	0.0	0.0	0	1	0	0	0	1	0	0	0.0		0.0	0.0		1.0			1	1	1	1
CH5262	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH5267	0.0		0.0	1.0	0	0	0	1	0	1	0	1	0.0	1.0	0.0			0.0		1.0	1	0	1	1
CH5291	0.0	1.0	0.0	1.0	0	1	0	1	0	1	0	1	0.0		0.0			1.0		1.0	1	1	1	1
CH5334	0.0	0.0	1.0	1.0	0	0	1	1	0	0	1	1	0.0	0.0					1.0	1.0	1	1	1	1
CH5353	0.0		0.0	1.0	0	0	0	1	0	1	0	1	0.0	1.0	0.0			0.0		1.0	1	0	1	1
CH5356	1.0	0.0	1.0	0.0	1	0	1	0	1	0	1	0		0.0		0.0	1.0		1.0		1	1	1	1
CH5362	0.0	0.0			0	0	0	0	0	0	1	1	0.0	0.0	1.0	1.0			0.0	0.0	1	1	0	0
CH5363	0.0	1.0	0.0	1.0	0	1	0	1	0	1	0	1	0.0		0.0			1.0		1.0	1	1	1	1
CH5387	0.0		0.0	1.0	0	0	0	1	0	1	0	1	0.0	1.0	0.0			0.0		1.0	1	0	1	1
CH5432		0.0	1.0	1.0	0	0	1	1	1	0	1	1	1.0	0.0			0.0		1.0	1.0	0	1	1	1
CH5462	0.0	1.0	0.0	1.0	0	1	0	1	0	1	0	1	0.0		0.0			1.0		1.0	1	1	1	1
CH5464	1.0	0.0	1.0	1.0	1	0	1	1	1	0	1	1		0.0			1.0		1.0	1.0	1	1	1	1
CH5478	0.0		0.0	1.0	0	0	0	1	0	1	0	1	0.0	1.0	0.0			0.0		1.0	1	0	1	1
CH5528	0.0		1.0		0	0	1	0	0	1	1	1	0.0	1.0		1.0		0.0	1.0	0.0	1	0	1	0
CH5531	0.0	1.0			0	1	0	0	0	1	1	1	0.0		1.0	1.0		1.0	0.0	0.0	1	1	0	0
CH5548	0.0			1.0	0	0	0	1	0	1	1	1	0.0	1.0	1.0			0.0	0.0	1.0	1	0	0	1
CH5550	0.0	0.0	1.0	1.0	0	0	1	1	0	0	1	1	0.0	0.0					1.0	1.0	1	1	1	1
CH5551	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
CH5591	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH5596	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
CH5597	0.0		0.0	1.0	0	0	0	1	0	1	0	1	0.0	1.0	0.0			0.0		1.0	1	0	1	1
CH5621	0.0	1.0	1.0	0.0	0	1	1	0	0	1	1	0	0.0			0.0		1.0	1.0		1	1	1	1
CH5638	0.0		1.0	1.0	0	0	1	1	0	1	1	1	0.0	1.0				0.0	1.0	1.0	1	0	1	1
CH5666	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH5688	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
CH5695	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
ESP002	0.0	1.0	0.0	0.0	0	1	0	0	0	1	0	0	0.0		0.0	0.0		1.0			1	1	1	1
ESP003	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP004	1.0	0.0	0.0	0.0	1	0	0	0	1	0	0	0		0.0	0.0	0.0	1.0				1	1	1	1
ESP006	1.0	0.0	0.0	0.0	1	0	0	0	1	0	0	0		0.0	0.0	0.0	1.0				1	1	1	1
ESP009	0.0	0.0		0.0	0	0	0	0	0	0	1	0	0.0	0.0	1.0	0.0			0.0		1	1	0	1
ESP011	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP012	1.0	1.0	0.0	0.0	1	1	0	0	1	1	0	0			0.0	0.0	1.0	1.0			1	1	1	1
ESP013	1.0	0.0	0.0	0.0	1	0	0	0	1	0	0	0		0.0	0.0	0.0	1.0				1	1	1	1
ESP015	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP020	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP021	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP022	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP023	0.0	1.0		1.0	0	1	0	1	0	1	1	1	0.0		1.0			1.0	0.0	1.0	1	1	0	1
ESP024	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
ESP025	1.0	1.0	0.0	1.0	1	1	0	1	1	1	0	1			0.0		1.0	1.0		1.0	1	1	1	1
ESP027	0.0	1.0	0.0	0.0	0	1	0	0	0	1	0	0	0.0		0.0	0.0		1.0			1	1	1	1
